"","C","gene"
"STRA6","3","STRA6"
"TMOD1","2","TMOD1"
"LCE2A","3","LCE2A"
"ANKRD2","2","ANKRD2"
"ARHGAP44","1","ARHGAP44"
"CIB2","1","CIB2"
"CD83","2","CD83"
"VSIR","1","VSIR"
"ENSG00000279608","4","ENSG00000279608"
"ENSG00000230732","4","ENSG00000230732"
"ENSG00000287335","1","ENSG00000287335"
"LOC107985177","1","LOC107985177"
"LRATD2","1","LRATD2"
"ZNF585B","2","ZNF585B"
"ENSG00000287665","4","ENSG00000287665"
"PALM","4","PALM"
"ZNF578","2","ZNF578"
"RIPOR3","1","RIPOR3"
"CLGN","4","CLGN"
"MALAT1","4","MALAT1"
"PXYLP1","2","PXYLP1"
"PI16","3","PI16"
"ENSG00000210144","4","ENSG00000210144"
"EBF3","3","EBF3"
"METTL7B","2","METTL7B"
"ZC3H12B","2","ZC3H12B"
"PTPRZ1","3","PTPRZ1"
"PLXDC1","1","PLXDC1"
"ENSG00000267474","4","ENSG00000267474"
"TMEM132D","1","TMEM132D"
"CAMK1G","1","CAMK1G"
"PROM2","2","PROM2"
"SLC13A3","1","SLC13A3"
"HTR1F","3","HTR1F"
"ITM2A","4","ITM2A"
"ABCA8","3","ABCA8"
"CCDC140","1","CCDC140"
"ELAPOR2","2","ELAPOR2"
"PODN","2","PODN"
"AJAP1","3","AJAP1"
"ASGR1","4","ASGR1"
"SNORA77","4","SNORA77"
"PCDHGB5","3","PCDHGB5"
"ENSG00000260949","4","ENSG00000260949"
"SNCA","4","SNCA"
"KLHL13","4","KLHL13"
"ZNF793","1","ZNF793"
"B3GALT5","2","B3GALT5"
"CXCL1","3","CXCL1"
"GRIK2","3","GRIK2"
"ENSG00000230623","1","ENSG00000230623"
"ENSG00000285875","2","ENSG00000285875"
"MPP2","1","MPP2"
"PINLYP","2","PINLYP"
"ENSG00000239040","4","ENSG00000239040"
"CLCA2","3","CLCA2"
"ENSG00000274383","4","ENSG00000274383"
"ENSG00000253853","2","ENSG00000253853"
"SPOCK3","2","SPOCK3"
"ARHGAP20","3","ARHGAP20"
